16C01|双端反常积分敛散性|拆分瑕点与无穷端分别幂比较|1|反常积分比较判别|-|在有限瑕点比较幂指数;在无穷远比较合并幂指数;取两端条件交集|IMPROPER_TWO_ENDPOINT_POWERS|幂与平移幂乘积的倒数|-|-|-
16C02|分段函数原函数|分段积分并在连接点匹配连续性|1|原函数;连续性|-|分别求两段原函数;匹配常数保证连接点可导|PIECEWISE_PRIMITIVE_MATCH|一次段与对数段连接|-|-|解析把所给函数误写成其导数符号
16C03|线性微分方程已知解结构|解的差求齐次系数再代入平均特解|2|非齐次解结构|-|用两特解之差确定齐次系数;以两特解平均代入恢复非齐次项|ODE_TWO_SOLUTIONS_RECONSTRUCT|平方函数加减根式的两特解|-|-|平均式与根式排版粘连
16C04|阶梯函数在聚点的可导性|区间夹逼右侧差商并匹配左导数|2|导数定义;夹逼定理|-|计算两侧函数极限;用所在小区间夹逼右差商;比较左右导数|STEP_ACCUMULATION_DERIVATIVE|倒数分割区间上的阶梯函数|-|-|-
16C05|相似矩阵运算性质|对相似等式进行转置求逆和多项式变换|2|矩阵相似;矩阵运算|-|检查各变换使用的相似矩阵;区分可共同使用与不能共同使用的变换|SIMILARITY_OPERATIONS|转置与逆及其和的相似性|-|-|解析对错误选项仅说明标准推导不成立，未给反例
16C06|二次型惯性与二次曲面|特征值符号确定规范形再匹配曲面|2|二次型正交化;二次曲面|-|写出对称矩阵并求特征值符号;联系规范形与等值曲面类型|QUADRATIC_SURFACE_CLASSIFICATION|等交叉项三元二次型|-|-|题干缺少等值曲面右端常数，曲面类型依赖该常数的符号
16C07|正态概率的参数单调性|标准化消去位置参数|1|正态标准化|-|把阈值标准化;利用标准正态分布函数单调性|NORMAL_PARAMETER_MONOTONICITY|阈值为均值加方差|-|-|-
16C08|互斥类别计数的相关系数|二项边缘矩与联合计数混合矩|2|二项分布;相关系数|-|确定两计数的边缘均值方差;枚举非零乘积事件求混合矩;计算协方差与相关系数|MULTINOMIAL_COUNT_CORRELATION|两次三类别试验的两个类别计数|-|-|解析混合概率中间乘式与给出的概率不一致
16F09|变限积分的零点极限|洛必达求导并使用基本等价量|1|微积分基本定理;等价无穷小|-|对积分上限求导;化简对数三角因子的局部阶|VARIABLE_INTEGRAL_ZERO_LIMIT|对数复合积分与余弦平方自变量|-|-|-
16F10|向量场旋度|按旋度定义计算交叉偏导|1|偏导数|-|按分量计算交叉偏导;核对旋度各分量符号|CURL_COMPONENTS|线性与双线性分量的向量场|-|-|-
