18C01|双栈表达式求值|按操作数弹出次序逐次计算|1|栈;二元运算|-|跟踪运算符弹出;保留左右操作数次序;将中间结果压回|DUAL_STACK_EVALUATION|操作数和运算符分栈|-|-|-
18C02|队栈组合的输出可达性|追踪直出与经栈输出的次序约束|2|队列;栈|-|尝试按候选输出安排进栈;遇到所需元素被栈顶阻挡时排除|QUEUE_STACK_OUTPUT_VALIDITY|允许从队列直接输出|-|-|-
18C03|上三角对称矩阵压缩下标|累加前面各行元素数并加入行内偏移|1|矩阵对称性;等差求和|-|统一矩阵与数组起始下标;计算行前累计量;定位行内元素|UPPER_TRIANGLE_PACKED_INDEX|矩阵从一开始数组从零开始|-|-|-
18C04|满二叉树的叶数与总结点数|由分支数和边数关系计数|1|二叉树结点度数|-|识别所有内部结点的分支数;联系叶数和总结点数|FULL_BINARY_LEAF_NODE_COUNT|叶结点都在同一层|-|-|源选项的指数排版丢失，标签不依赖选项字母或还原后的答案
18C05|哈夫曼编码的合法性与最优性|按权值合并构树并核对前缀码|2|前缀码;带权路径长度|-|反复合并最小权值;由树生成码字;核对候选编码|HUFFMAN_CODE_CONSTRUCTION|六种频率不同的字符|以码字前缀合法性及权值与码长约束排除候选|-|不复制解析中关于最短码字的失准措辞
18C06|BST的中序序关系|按给定树形中序遍历比较关键字|1|二叉搜索树;中序遍历|-|按左右子树安排访问次序;比较所问结点关键字|BST_SHAPE_ORDER|结点用符号表示|-|-|-
18C07|拓扑序合法性|逐点检查入度或全部前驱是否已输出|1|有向图;入度|-|找当前零入度结点;核对候选序列每个结点的前驱|TOPOLOGICAL_ORDER_VALIDITY|多起点有向无环图|-|-|-
18C08|B树最少关键字数|按最小分支数逐层累加|1|B树阶数与高度|-|确定根和非根最小子女数;累计各层最少关键字|B_TREE_MIN_KEYS|给定阶数和高度|-|-|-
18C09|线性探测成功查找长度|顺序插入后统计每个关键字的探测次数|1|散列;线性探测|-|处理相同散列地址的冲突;计算各关键字成功查找长度;取等概率平均|HASH_LINEAR_PROBE_ASL|三次同址冲突|-|-|-
18C10|希尔排序增量识别|按增量检查分组子序列是否有序|2|希尔排序|-|按候选增量分组;核对两趟处理后的组内有序性|SHELL_GAP_INVARIANT|给出连续两趟结果|-|-|-
18C11|自底向上建大根堆|从最后非叶结点逐个向下调整|2|完全二叉树;堆性质|-|确定调整起点和次序;选较大孩子并递归下沉;读取建堆结果|BOTTOM_UP_HEAP_BUILD|给定初始数组|-|-|-
18C12|二进制硬件实现依据|对应两种稳定状态与逻辑运算|1|二进制表示|-|将编码需求对应硬件状态;判断实现与可靠性特点|BINARY_HARDWARE_RATIONALE|二进制的采用理由|-|-|-
18C13|补码解码与定长减法|按符号权解读机器数再作差|1|补码范围|-|识别操作数符号和数值;执行定长减法并解释结果|TWOS_DECODE_SUBTRACT|给定十六进制机器数|-|-|源公式中操作数下标有笔误
18C14|IEEE754最小正规正数|选择最小非零阶码和最小尾数|1|阶码偏置;隐藏位|-|区分正规与非正规编码;还原最小正规数的指数和有效数|IEEE754_MIN_NORMAL|单精度正规正数|-|-|-
18C15|负立即数的小端编码|先取定长补码再按字节反序存储|1|补码;小端存储|-|保留指令其他字段;生成立即数字节序|IMMEDIATE_LITTLE_ENDIAN|修改已有指令的立即数|-|-|源文字的地址递增方向与正确字节示例相反，按题设小端解释
18C16|逻辑与算术右移|分别采用补零与符号扩展|1|符号位;移位|-|确定右移丢弃位;按移位类型补高位|LOGICAL_ARITH_RIGHT_SHIFT|同一负数执行两类右移|-|-|-
18C17|DRAM行列地址安排|平衡复用地址位数并减少刷新行数|2|DRAM地址复用;行刷新|-|分解容量为行列数;比较地址引脚数;在相同引脚数下比较刷新行数|DRAM_ROW_COLUMN_OPTIMIZE|两个容量因子互换的候选|-|-|-
18C18|数组变址地址反推|从有效地址差额除以元素大小|1|变址寻址;数组布局|-|求相对首址偏移;换算元素下标;区分访问和自增时刻|SCALED_INDEX_INVERSION|访问后再改变变址寄存器|-|-|源简写有效地址公式未体现元素大小，标签保留换算步骤
18C19|减法的无符号借位与有符号溢出|对同一运算分别检查两种数值解释|2|补码减法;标志位|-|按无符号大小判断借位;按有符号范围判断溢出|SUBTRACT_CF_OF|两个高位为一的机器数|-|-|不复制解析的误排公式
18C20|流水段周期含寄存器开销|最长组合延迟加段间寄存器时间|1|流水线时钟|-|选出最慢功能段;计入寄存器附加延迟|PIPELINE_STAGE_PERIOD_OVERHEAD|段间寄存器不可忽略|-|-|-
18C21|总线传输率的改进方式|区分位宽频率突发传输与引脚复用|1|总线带宽|-|判断每次载荷和单位时间传输次数;区分节省引脚与提高速率|BUS_RATE_MEASURES|多个总线技术并列|-|-|-
18C22|可屏蔽外部中断响应|核对指令边界开中断和现场处理职责|1|中断响应;现场保存|-|确定通常响应时机;区分硬件隐指令与服务程序处理|MASKABLE_INTERRUPT_RESPONSE|原题通常可屏蔽中断口径|-|-|不把该口径泛化到不可屏蔽中断
18C23|多任务与共享资源保护|区分处理机并发和设备并行|1|多任务;资源共享|-|分析单处理机与设备的重叠工作;检查受保护共享对象的访问关系|MULTITASK_RESOURCE_PROPERTIES|单处理机多任务系统|-|-|读读共享不一概要求互斥
18C24|含调度开销的平均周转时间|按优先级排程并累计已等待时间|2|非抢占优先级;周转时间|-|按优先级确定运行次序;累计每次调度开销和完成时刻;加入先前等待并求平均|PRIORITY_TURNAROUND_OVERHEAD|已有等待时间且每次调度耗时|-|-|-
