16C01|单链表插入后的链接地址|区分结点自身地址和后继地址|1|单链表链接|-|按内存表恢复逻辑链;在指定两结点间插入;读取各结点更新后的后继地址|LINKED_INSERT_ADDRESS|元素逻辑顺序不同于物理地址|-|-|-
16C02|双向循环链表的结点删除|将目标的前驱和后继双向重新连接|1|双向链表;内存释放|-|分别修复前向与后向链接;在摘链后释放目标结点|DOUBLY_LINKED_DELETE|带表头的循环双向链表|-|-|本地解析误指单链表小节，题干的双向结构与选项足以核对操作
16C03|多FIFO轨道的最少分配|把到达序列分入递增队列并检验下界|3|队列先进先出;序列顺序|-|识别不可同轨的逆序元素;选择保持队列递增的分配;核对最少轨道数可实现|MIN_FIFO_TRACKS|重排列车为升序驶出|-|-|-
16C04|三对角矩阵的压缩下标|累计前面各行元素数和本行偏移|1|按行压缩;从零编号|-|处理首行特殊长度;累计完整中间行;加本行目标前的元素数|TRIDIAGONAL_PACKED_INDEX|矩阵一基下标与数组零基下标|-|-|原文直接公式与逐行计数是同一索引关系的两种写法，不重复列备选
16C05|森林的结点边与树数|对各树的结点减边恒等式求和|1|树边数性质|-|按每棵树结点比边多一合计;由总量求森林组成数|FOREST_COMPONENT_COUNT|给总结点数和总边数|-|-|原文借图生成森林的另解使用同一恒等式，不列为独立机制
16C06|DFS遍历次序合法性|沿未访问邻居深探直至需要回溯|2|有向图DFS|-|逐边核对当前顶点的可达未访问邻居;检验回溯时机;排除提前跳出的序列|DFS_ORDER_VALIDITY|给定图和四个搜索序列|-|-|-
16C07|邻接表拓扑排序复杂度|分别统计顶点输出和弧删除次数|1|邻接表;拓扑排序|-|统计每个顶点被处理的次数;累计出边扫描成本|ADJACENCY_TOPO_COMPLEXITY|n顶点e弧的存储方式已定|-|-|-
16C08|Dijkstra最短路径确定顺序|松弛后选未确定距离最小顶点|2|带权有向图;路径长度|-|初始化源点距离;逐轮松弛;按暂定距离依次确定目标|DIJKSTRA_SETTLEMENT_ORDER|多个间接路径候选|-|-|-
16C09|跳步顺序查找的比较成本|按目标位置估算扫描和回查次数|1|有序数组;折半查找|-|分析从表头步进的比较成本;与折半查找的路径长度比较|JUMP_LINEAR_SEARCH_POSITION|每次跨三个元素再检查遗漏位置|-|-|原伪代码缺少回查下标非负保护，不将代码视为完整边界安全实现
16C10|B加树的叶链顺序访问|区分全关键字叶层链接与多路树查找|1|B树和B加树|-|识别B加树全部关键字在叶层的组织;判断叶链带来的顺序扫描支持|BPLUS_LEAF_CHAIN|比较两类多路平衡查找树|-|-|原文B树不支持顺序查找应理解为不提供同样叶链，不否认树的有序遍历
16C11|外部排序的归并组织|按超出内存的文件规模选择分段合并|1|内外存;归并排序|-|识别数据不能一次驻留内存的条件;匹配顺序归并处理方式|EXTERNAL_SORT_MERGE|超大数据文件排序|-|-|-
16C12|编译汇编与解释的区别|按输入语言和目标文件产出分类|1|程序翻译|-|区分高级语言到目标代码和汇编到机器码;判断是否生成目标文件|PROGRAM_TRANSLATION_CLASS|高级语言源程序转换为机器目标文件|-|-|不将逐句翻译作为所有解释器的唯一内部实现
16C13|等长有符号到无符号转换|保持位模式并改按无符号位权解读|1|补码;定长整数|-|确定题内类型位宽;区分符号位和最高数值位解释;按目标类型还原数值|SIGNED_UNSIGNED_REINTERPRET|short赋给等长unsigned short|-|-|位宽按本地题干和选项口径，不推广为所有C平台固定宽度
