26C01|顺序表插删的元素移动|按固定首址连续存储追踪空位填补|1|顺序表|-|区分表头移动与表尾直接增删|SEQUENTIAL_LIST_INSERT_DELETE_MOVES|原题通常非退化固定首址表|-|-|空表或单元素删除的边界不支持字面必然移动，标签保留一般操作条件
26C02|链表跳跃后继指针重设|先检查直接后继再赋二级后继并持续推进|1|指针访问;链表遍历|-|检查空后继避免非法解引用;设置尾结点空值;保证每轮推进|LINKED_SECOND_SUCCESSOR|修改一类指针而沿另一类遍历|-|-|-
26C03|中序与层序重建二叉树|按层序首个所属结点划分中序区间|2|二叉树遍历;重建|-|递归确定各子树根;划分左右中序集合;输出后序|INORDER_LEVEL_RECONSTRUCTION|给两种遍历且问第三种|-|-|-
26C04|森林转换后的最小高度|比较各树最小二叉高度并安排根兄弟链|3|孩子兄弟表示;树容量|-|由根无右孩子求单树高度下界;按高度排序安排树次序;累计兄弟链偏移并取最大|FOREST_MIN_BINARY_HEIGHT|各树仅给结点数且可调次序|-|-|-
26C05|哈夫曼最优树的同深叶子|反复合并权值后比较目标叶深|1|哈夫曼构造;WPL|-|建立最优树;记录原始字符的深度;筛选同深结点|HUFFMAN_EQUAL_DEPTH|内部合并权值与原叶权相同|-|-|必须区分同权内部结点与原字符
26C06|邻接表统计入度的复杂度|扫描所有表头和出边链|1|邻接表;渐近复杂度|-|累计顶点和边扫描成本;比较和式与最大项的同阶关系|ADJACENCY_LIST_INDEGREE_COST|普通出边邻接表未另存入度|-|-|-
26C07|图中游走字符串长度|按有无环区分有限路径界与重复绕环|2|有向图;路径与游走|-|用DAG顶点不重复限制长度;用环构造任意长游走;检查空串边界|GRAPH_WALK_LANGUAGE_LENGTH|原文允许重复绕环的路径口径|-|-|源术语有序向图及唯一字符含混，按每边固定字符且可重复标签处理
26C08|AVL左右子树规模差上界|在允许高度差内配最大与最小结点树|2|AVL高度;最少结点递推|-|枚举允许的子树高度组合;分别取结点上界下界;比较规模差|AVL_SUBTREE_SIZE_DIFFERENCE|整树高度固定|-|-|-
26C09|直接插入排序实际比较数|逐趟向前查找插入位置并计数|1|插入排序|-|分别模拟候选序列;只累计关键字比较;比较总量|INSERTION_COMPARISON_TRACE|不把数组边界判断计入关键字比较|-|-|-
26C10|多关键字的稳定分趟排序|先排次关键字再稳定排主关键字|1|稳定排序;基数排序|-|确定关键字优先级;按低到高执行保序排序|MULTIKEY_STABLE_SORT|主成绩相同时再比较总分|-|-|自定义比较器也能表达该全序，不标成非稳定算法绝不可能实现
26C11|外部归并趟数与初始段生成|按段数和路数取对数并说明生成方式条件|1|多路归并;初始段|-|建立归并层数关系;区分常规内排段与置换选择长段|EXTERNAL_MERGE_PASSES_MEMORY|源解析采用分批内部排序生成段|-|-|增加路数可使趟数不增但不必严格减少；置换选择段可超过内存，不能泛化内存必限最大段长
26C12|ISA微架构与电路层次|按软件接口逻辑实现和底层电路划分|1|ISA;计算机层次|-|定位各层的抽象对象与接口|COMPUTER_ISA_IMPLEMENTATION_LAYERS|原题区分逻辑与物理实现术语|-|-|物理实现层一词存在口径差异，标签记录源采用的层次而不认证选项结论
26C13|连续算术移位的定长结果|右移符号扩展后左移截断补零|1|补码;算术移位|-|逐阶段更新位串;处理丢弃位和补入位|ARITHMETIC_SHIFT_SEQUENCE|八位数据连续两类移位|-|-|原考点写逻辑移位，题干实际为算术移位
26C14|IEEE754就近取偶编码|正规化并用保留外位决定舍入|2|IEEE754;二进制小数|-|形成循环二进制展开;确定保留有效位;按就近取偶规则舍入并拼接|IEEE754_ROUND_NEAREST_EVEN|不能精确二进制表示的小数|-|-|源中间尾数字串不一致，标签不复制具体编码
26C15|低位交叉编址的芯片选择|按芯片数对字节地址取模|1|交叉编址;地址位|-|确定片选低位数;比较各地址低位或余数|LOW_ORDER_INTERLEAVE_CHIP|八芯片与宽数据总线|-|-|-
26C16|ISA规范与流水实现选择|区分可见中断访存接口和内部流水细分|1|ISA;微架构|-|识别软件可见机制;排除超流水实现方式|ISA_IMPLEMENTATION_BOUNDARY|题内虚存支持与实现细节比较|-|-|ISA只规定可见虚存支持，不代表规定全部操作系统管理策略
26C17|控制转移指令的下一地址语义|区分条件顺序执行与显式装载PC|1|条件分支;调用返回|-|按指令功能检查顺序后继条件;区分改变控制流与地址值偶然重合|CONTROL_TRANSFER_PC_SEMANTICS|源选项对可能不变的定义不明确|-|-|解析对返回可偶合而调用不可偶合的论证不一致，题目答案需人工核定；可提取的控制流标签正常完成
26C18|组相联Cache组号|块地址对组数取模|1|Cache;字节编址|-|由行数和路数求组数;去块内偏移后求组索引|CACHE_SET_INDEX|给十进制访问地址|-|-|-
26C19|同步页表与TLB有效性|由组标记还原虚页号并核对驻留状态|2|TLB;页表存在位|-|切分虚页号字段;识别与给定页对应的快表项;检查有效状态冲突|TLB_PAGE_TABLE_CONSISTENCY|无效项内容不参与有效翻译|-|-|不同虚页可共享页框，不能只按PPN相同判断冲突
26C20|理想数据通路的CPI|区分每指令周期数和稳定流水吞吐|1|CPI;流水线|-|比较单周期多周期和无停顿单发射流水|PROCESSOR_IDEAL_CPI|源解析补充无冒险稳定阶段条件|-|-|题干仅排除部分额外开销不足保证无冒险；尾注把多周期与流水混淆，不沿用
26C21|系统调用指令与特权操作|区分用户可用陷入入口和内核控制指令|1|特权指令;系统调用|-|识别允许用户发起的服务入口;区分执行入口与直接控制资源|PRIVILEGED_IO_TRAP|原题通常权限模型|-|-|-
26C22|中断断点的硬件保存|区分响应自动操作与服务程序保存|1|中断响应;现场保护|-|定位必须在转服务前保存的返回信息;与通用寄存器软件保护区分|INTERRUPT_HARDWARE_OS_SPLIT|题内响应阶段保存PC模型|-|-|-
26C23|可执行程序装入的执行模式|区分用户工具处理与内核建立运行映像|1|程序装入;特权态|-|识别编译链接命令解释和内核装入各自职责|PROGRAM_LOADING_KERNEL_MODE|装入指操作系统建立执行映像|-|-|不泛化用户态动态装载器的全部工作都在内核
26C24|虚拟存储的软硬件协作|区分地址转换异常触发和页表维护处理|1|MMU;缺页异常|-|分配硬件翻译与OS维护职责;区分检测和处理|VM_HARDWARE_OS_ROLES|指令执行中的虚存操作|-|-|-
