# id|main|method|difficulty|hard prerequisites(;)|secondary(;)|task groups(/),observable steps(;)|structural family|variant|local alternatives(;)|dependencies|review note
09C01|队列的先进先出应用|将缓冲需求与线性结构访问顺序匹配|1|队列基本操作|-|识别输入输出顺序保持要求;选择符合顺序的逻辑结构|FIFO_BUFFER|打印机与主机缓冲|-|-|-
09C02|栈序列的最小容量|模拟进出栈并记录最大深度|2|栈与队列|-|利用队列保持出栈顺序;模拟合法栈操作;统计最大同时在栈元素数|STACK_MIN_CAPACITY|指定入栈与最终出队序列|-|-|原文另解是同一栈模拟的计数改写，不重复列备选
09C03|二叉树遍历方式识别|对子树序列递归定位根的访问次序|1|二叉树结构|-|在图中定位根与左右子树;将给定序列逐层匹配遍历顺序|TREE_TRAVERSAL_RECOGNITION|非通常左优先的遍历次序|-|-|-
09C04|AVL树平衡条件|逐结点比较左右子树高度|1|二叉树高度|-|检查每个非叶结点的子树高度差;排除局部不平衡的候选|AVL_BALANCE_CHECK|配图中的多棵二叉排序树|-|-|-
09C05|完全二叉树结点数边界|按叶结点所在倒数层分类并补齐满层|2|完全二叉树层数性质|-|分析给定层有叶结点允许的树高;用最后层缺失结点数确定最大总量|COMPLETE_TREE_LAYER_COUNT|给定某层叶数求总结点上界|-|-|-
09C06|森林与二叉树的关系转换|按左孩子右兄弟规则分析两步路径|2|孩子兄弟表示法|-|枚举两层父链的左右组合;转换为原森林亲缘关系;核对候选关系|FOREST_BINARY_RELATIONS|二叉树祖孙对应森林关系|由原森林的父子或兄弟关系正向构造二叉树|-|-
09C07|无向连通图的度与边数|握手定理结合边界图反例|1|图的度;连通图|-|应用度数和与边数关系;检查树和环等边界例子排除过强断言|UNDIRECTED_GRAPH_BOUNDS|度数和与连通图最少边数|-|-|原解析完全图反例的顶点数限定不严，不能将其泛化到任意N
09C08|B树与B加树的结构区别|核对阶数叶层及叶链特征|1|多路平衡查找树|-|匹配B树定义各条件;辨别仅属于B加树的叶链结构|B_TREE_DEFINITION|多路查找树结构条件辨析|-|-|-
09C09|小根堆插入|在末端插入后沿父链上滤|1|堆的顺序存储|-|将新关键字放入完全树下一位置;沿父链比较交换;恢复层序序列|HEAP_INSERT_SIFT_UP|最小堆插入更小关键字|-|-|-
09C10|排序中间状态辨识|比较各算法一趟后必须满足的不变量|2|常见内部排序|-|检查端点最终位置与有序前缀;检查归并有序段长度;排除不符中间状态的算法|SORT_PASS_INVARIANTS|第二趟排序后的部分有序序列|-|-|-
09C11|存储程序计算机的指令与数据区分|按指令周期阶段识别访存用途|1|指令周期|-|区分取指与执行阶段;说明相同二进制存储内容的解释依据|FETCH_DATA_PHASE|统一存储指令和数据|-|-|-
09C12|有符号整数扩展与补码运算|先符号扩展再按机器字长相加|2|补码;十六进制|-|按类型字长编码整数;对短整数符号扩展;执行定长加法并核对结果符号|SIGNED_EXTENSION_ARITHMETIC|混合short与int加法|利用运算结果正负和选项差异排除|-|-
09C13|浮点加法的规格化与溢出|对阶尾数运算后检查阶码范围|2|补码;浮点表示|-|小阶向大阶对齐;尾数相加并规格化;检查阶码溢出|FLOAT_ADD_OVERFLOW|双符号位补码浮点加法|先计算真值再规格化并检查可表示范围|-|-
09C14|组相联Cache地址映射|求主存块号再模Cache组数|1|Cache组相联;按字节编址|-|由块长分解地址;计算Cache组数;对主存块号取模|CACHE_SET_INDEX|二路组相联地址组号|-|-|-
09C15|存储芯片字位扩展|按地址容量和数据位宽分别计算扩展|1|存储容量单位;字位扩展|-|分别确定ROM与RAM容量;计算位扩展倍数和字扩展倍数;合成芯片数量|MEMORY_CHIP_EXPANSION|不同字位规格的ROM和RAM|-|-|-
09C16|相对寻址的目标地址|用取指后PC加有符号位移|1|程序计数器;相对寻址|-|按指令字节数更新PC;叠加相对位移形成目标地址|PC_RELATIVE_TARGET|两字节转移指令逐字节取指|-|-|-
09C17|RISC指令系统特点|比较精简指令集的实现特征|1|指令集与控制器|-|区分寄存器和访存指令设计;核对指令格式与控制器实现倾向|RISC_CHARACTERISTICS|RISC与微程序控制的关系|-|-|按题中传统RISC比较口径，不将实现倾向表述为绝对通用规则
09C18|流水线时钟周期|由最慢功能段确定周期下界|1|同步流水线|-|比较各段延迟;确定能容纳所有段操作的时钟周期|PIPELINE_STAGE_PERIOD|不同功能段延迟且忽略寄存器开销|-|-|-
09C19|硬布线与微程序控制器比较|比较逻辑电路与控存访问机制|1|控制器实现|-|分析控制信号形成方式;比较执行速度与可修改性|CONTROL_UNIT_TRADEOFF|两类控制器速度与扩展性|-|-|-
09C20|总线带宽|每次传输量除以总线事务时间|1|频率与周期;数据单位|-|将时钟周期数换算成事务时间;用事务字节数求带宽|BUS_BANDWIDTH|一次事务占多个时钟|-|-|-
09C21|Cache命中率|命中次数与总访问次数归一化|1|命中与缺失定义|-|由缺失次数求命中次数;计算命中比例|CACHE_HIT_RATE|给定访问总次数和缺失次数|-|-|-
09C22|外部中断与异常的分类|按事件发生来源区分异步中断|1|中断与异常|-|区分外设请求与指令执行内部事件;识别外部中断来源|INTERRUPT_EXCEPTION_SOURCE|键盘与算术访存事件分类|-|-|解析下溢处理表述不宜扩展为所有处理器实现的通则
09C23|单处理机并发与并行|按是否占用独立硬件判断同时执行|1|并发与并行|-|识别单CPU对进程的限制;分析处理机设备通道之间的独立操作|SINGLE_CPU_PARALLELISM|进程与设备通道可并行性|-|-|-
