10C01|附加操作限制的栈序列|模拟候选序列检查连续退栈约束|2|栈后进先出|-|按固定入栈顺序重建操作;检查连续出栈次数限制|STACK_OPERATION_CONSTRAINT|禁止连续三次退栈|-|-|原文连续逆序片段另解未充分说明一般适用条件，采用操作模拟
10C02|输出受限双端队列|保持已入队元素邻接关系判断可达序列|2|双端队列|-|逐个分析两端插入可形成的排列;用禁止内部插入的不变量排除候选|OUTPUT_RESTRICTED_DEQUE|全部元素入队后单端输出|-|-|-
10C03|后序线索二叉树|先求后序再核对空链域前驱后继|2|后序遍历;线索指针|-|确定后序序列;区分孩子指针和空域线索;核对每条线索目标|POSTORDER_THREADING|多幅虚线指针候选|-|-|-
10C04|AVL插入后的重平衡|定位最小失衡子树并执行双旋|2|BST插入;平衡因子|-|沿查找路径插入;自下而上确定失衡类型;旋转后读取指定结点关系|AVL_INSERT_ROTATION|插入到右子树左侧触发RL|-|-|-
10C05|树的度数与叶结点计数|总结点数与父子边数建立恒等式|1|树的结点度与边数|-|对各度结点计数求总数;用边数等于结点数减一;求叶结点数量|TREE_DEGREE_LEAF_COUNT|给定各非叶度数的多叉树|-|-|-
10C06|哈夫曼树结构性质|依据两最小权合并规则判断结构断言|2|哈夫曼构造|-|检查度一结点与最小权兄弟关系;区分最优带权路径和完全树要求|HUFFMAN_PROPERTIES|权值互异字符构造哈夫曼树|-|-|-
10C07|保证图连通的边数阈值|计算不连通简单图的最大边数|2|完全图边数;连通分量|-|构造最大分量加孤立点的不连通边界;由超过该边界保证连通|GRAPH_FORCED_CONNECTIVITY|任意七顶点无向图连通保证|-|-|解析措辞偏构造性，充分性依据应是不连通图最大边数上界
10C08|拓扑序列计数|枚举每步零入度顶点分支|2|有向无环图;拓扑排序|-|读取图的偏序约束;逐步删除零入度顶点;枚举不同合法序列|TOPOLOGICAL_ORDER_COUNT|含两个交错先后链的DAG|-|-|-
10C09|折半查找的最坏比较次数|由判定树高度或失败路径计数|1|折半查找|-|按中点划分构造判定树;统计最深失败路径的关键字比较次数|BINARY_SEARCH_WORST_COUNT|二的幂长度顺序表的失败查找|-|-|-
10C10|快速排序递归结构|将分区处理顺序对应递归树子树交换|2|快速排序划分;递归树|-|区分分区形状和处理先后;检查交换处理顺序是否改变递归结构|QUICKSORT_RECURSION_ORDER|先处理长分区与短分区的比较|-|-|原文递归次数用语与递归深度易混淆，标签只确认处理顺序不改变既定划分树
10C11|排序中间状态辨识|比较每趟极值定位与有序段特征|1|内部排序算法|-|逐趟检查最大元素移动方式;比对候选排序不变量|SORT_PASS_INVARIANTS|三趟结果显示最大值依次沉底|-|-|-
10C12|CPU执行时间的影响因素|分解指令数CPI与时钟频率|1|CPU性能方程|-|将硬件和编译优化对应性能因子;判断对执行时间的可能影响|CPU_TIME_FACTORS|时钟数据通路和编译三个措施|-|-|原解析将减少周期数与提高频率混写，标签保持两因子独立
10C13|定长补码乘积溢出|转换真值并检查可表示范围|1|补码范围|-|将各机器数恢复有符号真值;比较乘积与目标位宽范围|SIGNED_MULTIPLY_OVERFLOW|八位寄存器保存乘积|-|-|-
10C14|整数与浮点转换的精度|逐项检查表示范围截断和舍入吸收|2|IEEE754精度;类型转换|-|检查整数可精确转换范围;分析小数截断及宽窄转换;判断大数加小数的精度丢失|FLOAT_CONVERSION_PRECISION|int单精度双精度混合表达式|-|-|原文将int到float称为普遍精度提升不准确；仅按本题具体数值判断
10C15|字位扩展后的芯片地址范围|由芯片深度划分对齐地址段|1|字位扩展;地址译码|-|确定每组芯片可覆盖的地址数量;定位给定地址所属组;求组起始地址|MEMORY_CHIP_ADDRESS_BLOCK|小字宽芯片构成较大存储器|-|-|-
10C16|RAM与ROM的性质|分别核对易失性访问方式与刷新需求|1|SRAM与DRAM;ROM|-|区分随机存取方式和器件名称;比较掉电保持与刷新属性|RAM_ROM_PROPERTIES|存储器易失性及Cache用途|-|-|解析把第三条错误误记为第二条编号，内容关系仍明确
10C17|TLB与页面命中的约束|利用地址转换缓存与驻留页的一致性|2|TLB;请求分页|-|区分页表项缓存和数据缓存;根据有效TLB项推导页面驻留;排除不可能组合|TLB_PAGE_HIT_IMPLICATION|TLBCache页面三种命中组合|-|-|解析描述统一先查Cache不适用于全部实现，本题仅依赖驻留关系
